,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
226_6,2.0,3.3,1.3,6.4,95.5,3.4,1.1,0.0,0.0,17.8,40.0,17.8,22.2,2.2,0.0
227_3,11.5,7.0,1.0,38.0,35.7,64.3,0.0,0.0,0.0,0.0,27.6,12.1,13.8,10.3,36.2
228_9,8.4,10.1,3.4,32.7,62.9,25.7,2.9,8.6,0.0,0.0,38.9,0.0,0.0,0.0,61.1
229_1,15.5,16.4,3.7,35.5,44.4,55.6,0.0,0.0,0.0,0.0,3.1,21.9,59.4,15.6,0.0
22_3,0.0,7.7,2.2,8.9,35.8,64.2,0.0,0.0,0.0,0.0,7.4,85.2,7.4,0.0,0.0
230_4,25.4,21.0,2.2,27.0,59.6,21.2,9.6,9.6,0.0,0.0,50.0,7.7,15.4,0.0,26.9
231_13,24.0,24.0,9.6,34.3,15.8,71.1,10.5,2.6,0.0,0.0,47.4,5.3,5.3,36.8,5.3
232_13,22.6,20.7,3.0,26.7,70.5,29.5,0.0,0.0,0.0,12.9,41.9,45.2,0.0,0.0,0.0
233_13,27.9,29.2,5.1,44.4,37.5,27.1,14.6,18.8,2.1,0.0,25.0,8.3,16.7,8.3,41.7
234_8,11.6,13.2,3.3,17.8,71.4,28.6,0.0,0.0,0.0,44.4,55.6,0.0,0.0,0.0,0.0
235_1,3.4,4.2,2.5,6.1,91.2,8.8,0.0,0.0,0.0,2.9,64.7,32.4,0.0,0.0,0.0
236_15,11.4,6.7,6.7,29.2,82.0,18.0,0.0,0.0,0.0,3.2,32.3,54.8,0.0,6.5,3.2
237_14,1.5,2.9,1.5,11.5,85.0,15.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
238_13,15.5,16.8,10.3,36.3,61.7,27.7,8.5,2.1,0.0,0.0,0.0,8.3,25.0,4.2,62.5
239_6,2.2,4.3,2.2,10.9,96.3,3.7,0.0,0.0,0.0,14.3,35.7,14.3,14.3,21.4,0.0
23_9,2.2,3.4,2.2,27.4,28.8,65.4,5.8,0.0,0.0,11.5,0.0,11.5,76.9,0.0,0.0
240_13,24.2,18.5,2.3,34.4,3.8,55.8,40.4,0.0,0.0,0.0,26.9,38.5,30.8,3.8,0.0
