,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
20_1,0.038461538461538464,0.38461538461538464,0.5769230769230769,0.0,0.0,0.0
169_13,0.0,0.5,0.19444444444444445,0.1111111111111111,0.027777777777777776,0.16666666666666666
300_7,0.0,0.35,0.65,0.0,0.0,0.0
239_6,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0
264_2,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.0,0.0,0.0
121_13,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0
200_4,0.037037037037037035,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.037037037037037035
217_2,0.0,0.4,0.2,0.2,0.2,0.0
140_15,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0
267_15,0.0,0.25,0.0625,0.0625,0.0,0.625
251_2,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0
89_2,0.375,0.5,0.0,0.125,0.0,0.0
32_13,0.0,0.7857142857142857,0.0,0.0,0.0,0.21428571428571427
225_11,0.0,0.17391304347826086,0.34782608695652173,0.4782608695652174,0.0,0.0
72_2,0.05263157894736842,0.631578947368421,0.3157894736842105,0.0,0.0,0.0
101_7,0.0,0.05263157894736842,0.47368421052631576,0.3157894736842105,0.15789473684210525,0.0
283_14,0.0,0.15789473684210525,0.8421052631578947,0.0,0.0,0.0
135_2,0.15,0.55,0.05,0.0,0.15,0.1
211_15,0.25,0.45,0.1,0.1,0.1,0.0
242_14,0.05555555555555555,0.5,0.3333333333333333,0.1111111111111111,0.0,0.0
146_12,0.0625,0.21875,0.71875,0.0,0.0,0.0
141_14,0.08,0.8,0.08,0.0,0.04,0.0
96_6,0.047619047619047616,0.0,0.19047619047619047,0.047619047619047616,0.23809523809523808,0.47619047619047616
185_10,0.0,0.8,0.18666666666666668,0.013333333333333334,0.0,0.0
297_3,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.0
5_11,0.0,0.0,1.0,0.0,0.0,0.0
134_2,0.0,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.6551724137931034
86_14,0.07692307692307693,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0
180_4,0.0,0.6363636363636364,0.0,0.09090909090909091,0.0,0.2727272727272727
61_4,0.06896551724137931,0.41379310344827586,0.20689655172413793,0.2413793103448276,0.0,0.06896551724137931
156_11,0.08333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
38_4,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0
17_9,0.0,0.0,0.0,0.0,0.0,1.0
218_10,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0
75_6,0.07407407407407407,0.5061728395061729,0.41975308641975306,0.0,0.0,0.0
37_11,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0
155_6,0.0,0.2608695652173913,0.7391304347826086,0.0,0.0,0.0
249_15,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
30_11,0.0,0.3225806451612903,0.6774193548387096,0.0,0.0,0.0
192_4,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.26666666666666666
128_5,0.03333333333333333,0.3,0.6333333333333333,0.03333333333333333,0.0,0.0
25_13,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,0.0
165_10,0.0967741935483871,0.6129032258064516,0.2903225806451613,0.0,0.0,0.0
221_7,0.0,0.19298245614035087,0.8070175438596491,0.0,0.0,0.0
111_10,0.0,0.6875,0.1875,0.0625,0.0625,0.0
153_11,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0
150_15,0.0,0.5714285714285714,0.14285714285714285,0.0,0.21428571428571427,0.07142857142857142
71_7,0.0,0.0,1.0,0.0,0.0,0.0
107_7,0.0,0.125,0.875,0.0,0.0,0.0
23_9,0.11538461538461539,0.0,0.11538461538461539,0.7692307692307693,0.0,0.0
207_12,0.0,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.0
266_2,0.06451612903225806,0.3548387096774194,0.1935483870967742,0.12903225806451613,0.22580645161290322,0.03225806451612903
252_11,0.0,0.5909090909090909,0.2727272727272727,0.045454545454545456,0.09090909090909091,0.0
92_4,0.0,0.2692307692307692,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.11538461538461539
269_11,0.0,0.46153846153846156,0.5384615384615384,0.0,0.0,0.0
172_10,0.07142857142857142,0.9047619047619048,0.023809523809523808,0.0,0.0,0.0
78_9,0.022727272727272728,0.18181818181818182,0.7954545454545454,0.0,0.0,0.0
148_4,0.0,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.0,0.25925925925925924
58_6,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0,0.0
60_3,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.26666666666666666
248_2,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.0,0.0
193_9,0.0,0.2702702702702703,0.05405405405405406,0.08108108108108109,0.08108108108108109,0.5135135135135135
143_9,0.0,0.5714285714285714,0.0,0.047619047619047616,0.09523809523809523,0.2857142857142857
40_13,0.0,0.0,0.3076923076923077,0.23076923076923078,0.0,0.46153846153846156
160_9,0.0,0.07407407407407407,0.3333333333333333,0.4074074074074074,0.1111111111111111,0.07407407407407407
195_15,1.0,0.0,0.0,0.0,0.0,0.0
223_11,0.0,0.68,0.24,0.08,0.0,0.0
77_11,0.0,0.05714285714285714,0.6285714285714286,0.3142857142857143,0.0,0.0
53_13,0.0,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0
188_12,0.0,0.38095238095238093,0.6190476190476191,0.0,0.0,0.0
76_11,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0
187_11,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0
206_8,0.0,0.5,0.15384615384615385,0.11538461538461539,0.23076923076923078,0.0
45_14,0.017857142857142856,0.7321428571428571,0.19642857142857142,0.05357142857142857,0.0,0.0
247_15,0.5,0.3,0.1,0.0,0.0,0.1
226_6,0.17777777777777778,0.4,0.17777777777777778,0.2222222222222222,0.022222222222222223,0.0
174_9,0.0,1.0,0.0,0.0,0.0,0.0
234_8,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0
151_13,0.0,0.3181818181818182,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.13636363636363635
170_13,0.0,0.1,0.06666666666666667,0.6666666666666666,0.0,0.16666666666666666
84_4,0.0,0.5,0.0,0.25,0.25,0.0
238_13,0.0,0.0,0.08333333333333333,0.25,0.041666666666666664,0.625
10_15,0.3448275862068966,0.6551724137931034,0.0,0.0,0.0,0.0
109_13,0.15384615384615385,0.0,0.8461538461538461,0.0,0.0,0.0
110_2,0.25,0.4,0.35,0.0,0.0,0.0
7_1,0.05263157894736842,0.10526315789473684,0.8421052631578947,0.0,0.0,0.0
142_15,0.25,0.75,0.0,0.0,0.0,0.0
120_7,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.7272727272727273
194_9,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,0.0
4_13,0.047619047619047616,0.3333333333333333,0.38095238095238093,0.0,0.14285714285714285,0.09523809523809523
241_14,0.07407407407407407,0.9259259259259259,0.0,0.0,0.0,0.0
